z,locations,text
6.115437508,ECU,Ecuador
5.167754173,EGY,Egypt
5.540510654,EGY,Egypt
4.631741047,EGY,Egypt
5.066164494,EGY,Egypt
4.668916225,EGY,Egypt
4.174158573,EGY,Egypt
4.204156876,EGY,Egypt
3.558520317,EGY,Egypt
4.885072708,EGY,Egypt
4.762538433,EGY,Egypt
4.556740761,EGY,Egypt
5.700929642,SLV,El Salvador
5.295535088,SLV,El Salvador
5.191493988,SLV,El Salvador
6.839087009,SLV,El Salvador
6.739911079,SLV,El Salvador
4.741294861,SLV,El Salvador
5.934371471,SLV,El Salvador
6.325063229,SLV,El Salvador
5.856523514,SLV,El Salvador
6.018496037,SLV,El Salvador
6.139824867,SLV,El Salvador
5.371054649,EST,Estonia
5.332044125,EST,Estonia
5.451937675,EST,Estonia
5.137738705,EST,Estonia
5.486819744,EST,Estonia
5.363927841,EST,Estonia
5.367445946,EST,Estonia
5.55598259,EST,Estonia
5.628908634,EST,Estonia
5.649675369,EST,Estonia
4.561168671,ETH,Ethiopia
4.44482708,ETH,Ethiopia
4.506646633,ETH,Ethiopia
4.573154926,ETH,Ethiopia
4.297848701,ETH,Ethiopia
7.672449112,FIN,Finland
7.67062664,FIN,Finland
7.393264294,FIN,Finland
7.354225159,FIN,Finland
7.420209408,FIN,Finland
7.444635868,FIN,Finland
7.384571075,FIN,Finland
7.447925568,FIN,Finland
7.659843445,FIN,Finland
7.093392849,FRA,France
6.582700253,FRA,France
7.008064747,FRA,France
6.283498287,FRA,France
6.797901154,FRA,France
6.959185123,FRA,France
6.649365425,FRA,France
6.66712141,FRA,France
6.466867924,FRA,France
6.357625008,FRA,France
6.475208759,FRA,France
4.255400658,GAB,Gabon
3.97205925,GAB,Gabon
3.800287008,GAB,Gabon
3.918073177,GAB,Gabon
4.66101265,GAB,Gabon
4.831764221,GAB,Gabon
3.675108433,GEO,Georgia
3.707194567,GEO,Georgia
4.15609026,GEO,Georgia
3.800639153,GEO,Georgia
4.101837158,GEO,Georgia
4.203030586,GEO,Georgia
4.254445553,GEO,Georgia
4.348920822,GEO,Georgia
4.287508011,GEO,Georgia
4.121940613,GEO,Georgia
4.448386192,GEO,Georgia
6.619549751,DEU,Germany
6.416819572,DEU,Germany
6.521790028,DEU,Germany
6.64149332,DEU,Germany
6.724531174,DEU,Germany
6.621312141,DEU,Germany
6.702362061,DEU,Germany
6.965125084,DEU,Germany
6.984214306,DEU,Germany
7.037137508,DEU,Germany
6.873763084,DEU,Germany
4.535019875,GHA,Ghana
5.220148087,GHA,Ghana
4.965134621,GHA,Ghana
4.197695732,GHA,Ghana
4.606251717,GHA,Ghana
5.608199596,GHA,Ghana
5.057261944,GHA,Ghana
4.965053082,GHA,Ghana
3.860351086,GHA,Ghana
3.985916138,GHA,Ghana
4.514411449,GHA,Ghana
6.006309986,GRC,Greece
6.646961212,GRC,Greece
6.038574696,GRC,Greece
5.839558601,GRC,Greece
5.372039795,GRC,Greece
5.096354008,GRC,Greece
4.720251083,GRC,Greece
4.75623703,GRC,Greece
5.622519016,GRC,Greece
5.302619457,GRC,Greece
5.901429176,GTM,Guatemala
